INFO  2019-12-19 12:37:49,218 [5    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view CreateOrder.
DEBUG 2019-12-19 12:37:49,341 [4    ] Abp.EntityHistory.EntityHistoryHelper    - Skipping Entity Change Creation for Shopping_Card.Authorization.Users.User, Id:1
WARN  2019-12-19 12:37:49,361 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:37:49,363 [4    ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:37:49,401 [4    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view CreateOrder executed in 184.2631ms.
INFO  2019-12-19 12:37:49,408 [4    ] c.Infrastructure.ControllerActionInvoker - Executed action Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc) in 2525.2521ms
INFO  2019-12-19 12:37:49,411 [4    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Shopping_Card.Web.Controllers.OrderController.CreateOrder (Shopping_Card.Web.Mvc)'
INFO  2019-12-19 12:37:49,459 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 2590.3855ms 200 text/html; charset=utf-8
DEBUG 2019-12-19 12:37:49,497 [5    ] Abp.AspNetCore.SignalR.Hubs.AbpCommonHub - A client is disconnected: pUwR_n8R_j8gzJbV4N-dOg
INFO  2019-12-19 12:37:49,519 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/JavaScript/LoadProduct.js  
INFO  2019-12-19 12:37:49,525 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/JavaScript/Order.js  
INFO  2019-12-19 12:37:49,550 [8    ] NetCore.StaticFiles.StaticFileMiddleware - The file /JavaScript/LoadProduct.js was not modified
INFO  2019-12-19 12:37:49,566 [5    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint '/signalr'
INFO  2019-12-19 12:37:49,567 [20   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/src/localization/messages_es_MX.js  
INFO  2019-12-19 12:37:49,600 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637123558208728427  
INFO  2019-12-19 12:37:49,628 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637123558208728427  
INFO  2019-12-19 12:37:49,659 [5    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 22520.6604ms 101 
INFO  2019-12-19 12:37:49,663 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,669 [20   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 50.998ms 404 
